リポジトリ名,GitHub URL,名前A,ドメイン1,ドメイン2,ドメイン3,名前B,ドメイン1,ドメイン2,ドメイン3,Description,説明文
facebook/litho,https://github.com/facebook/litho,k-nishiura,Android,Development,Multimedia,,,,,A declarative framework for building efficient UIs on Android.,Androidで効率的なUIを構築するための宣言型フレームワーク。
Glucosio/glucosio-android,https://github.com/Glucosio/glucosio-android,k-nishiura,Android,Science,,,,,,Glucosio Android App,Glucosio Androidアプリ
google/bundletool,https://github.com/google/bundletool,k-nishiura,Android,Utility,,,,,,Bundletool is a command-line tool to manipulate Android App Bundles,Bundletoolは、Androidアプリバンドルを操作するためのコマンドラインツールです
halfhp/androidplot,https://github.com/halfhp/androidplot,k-nishiura,Android,Development,,,,,,Charts and plots for Android,Androidのチャートとプロット
hidroh/materialistic,https://github.com/hidroh/materialistic,k-nishiura,Android,Web,,,,,,A material-design Hacker News Android reader,マテリアルデザインのHacker News Androidリーダー
iDevicesInc/SweetBlue,https://github.com/iDevicesInc/SweetBlue,k-nishiura,Android,,,,,,,BLE on Android - the easy way. THIS IS NOW DEPRECATED. Please visit website for info on new versions.,AndroidのBLE-簡単な方法。これは廃止されました。新しいバージョンの情報についてはウェブサイトをご覧ください。
INDExOS/media-for-mobile,https://github.com/INDExOS/media-for-mobile,k-nishiura,Android,Multimedia,,,,,,Media for Mobile,モバイル向けメディア
iSoron/uhabits,https://github.com/iSoron/uhabits,k-nishiura,Android,,,,,,,Loop Habit Tracker - a mobile app for creating and maintaining long-term positive habits,Loop Habit Tracker-長期的なポジティブな習慣を作成および維持するためのモバイルアプリ
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,k-nishiura,Android,,,,,,,Bind Android views and callbacks to fields and methods.,Androidビューとコールバックをフィールドとメソッドにバインドします。
jiangqqlmj/FastDev4Android,https://github.com/jiangqqlmj/FastDev4Android,k-nishiura,Android,Development,,,,,,本项目是Android快速开发框架，采用AndroidStudio进行开发。 预想集成工具包 -采用MVP开发模式 -EventBus数据分发 -沉浸式状态栏 -ORM -网络请求(HTTPClint -Volley -OkHttps) -数据解析 -依赖注入(AndroidAnnotations) -xutils -图片异步加载，二维码扫描等等，后续会进行逐步添加,このアイテムは、AndroidStudioを使用してAndroidの高速開封を開始するために使用します。 AndroidAnnotations）-xutils-図の追加、二描画など、後で追加する
kejunxia/AndroidMvc,https://github.com/kejunxia/AndroidMvc,k-nishiura,Android,Network,,,,,,Android MVC/MVP/MVVM framework,Android MVC / MVP / MVVMフレームワーク
mapbox/mapbox-navigation-android,https://github.com/mapbox/mapbox-navigation-android,k-nishiura,Android,Geospatial,,,,,,Mapbox Navigation SDK for Android,Android向けMapbox Navigation SDK
Microsoft/thrifty,https://github.com/Microsoft/thrifty,k-nishiura,Android,,,,,,,Thrift for Android that saves you methods,メソッドを節約するAndroidのThrift
MirakelX/mirakel-android,https://github.com/MirakelX/mirakel-android,k-nishiura,Android,Utility,,,,,,Easy task management for professionals,プロフェッショナル向けの簡単なタスク管理
mycelium-com/wallet-android,https://github.com/mycelium-com/wallet-android,k-nishiura,Android,Financial,Security,,,,,Mycelium Bitcoin Wallet for Android,Android用Mycelium Bitcoin Wallet
nextcloud/android,https://github.com/nextcloud/android,k-nishiura,Android,Database,,,,,,📱 Nextcloud Android app,📱Nextcloud Androidアプリ
NightscoutFoundation/xDrip,https://github.com/NightscoutFoundation/xDrip,k-nishiura,Android,Science,Multimedia,,,,,Nightscout version of xDrip+,xDrip +のNightscoutバージョン
open-keychain/open-keychain,https://github.com/open-keychain/open-keychain,t-shiotsu,Android,Security,Utility,,,,,OpenKeychain is an OpenPGP implementation for Android.,OpenKeychainは、Android向けのOpenPGP実装です。
opendatakit/collect,https://github.com/opendatakit/collect,k-nishiura,Android,Geospatial,,,,,,ODK Collect is an Android app for filling out forms. It's been used to collect billions of data points in challenging environments around the world. Contribute and make the world a better place! ✨📋✨,ODK Collectは、フォームに入力するためのAndroidアプリです。世界中の困難な環境で数十億のデータポイントを収集するために使用されています。貢献して世界をより良い場所にしましょう！ ✨📋✨
openfoodfacts/OpenFoodFacts-androidApp,https://github.com/openfoodfacts/OpenFoodFacts-androidApp,k-nishiura,Android,Financial,,,,,,Native version of Open Food Facts on Android - Coders & Decoders welcome 🤳🥫,AndroidのOpen Food Factsのネイティブバージョン-コーダーとデコーダー歓迎welcome
parse-community/Parse-SDK-Android,https://github.com/parse-community/Parse-SDK-Android,k-nishiura,Android,Development,,,,,,Parse SDK for Android,Androidの解析SDK
pedrovgs/AndroidGameBoyEmulator,https://github.com/pedrovgs/AndroidGameBoyEmulator,k-nishiura,Android,Game,,,,,,Android Game Boy Emulator written in Java,Javaで書かれたAndroid Game Boy Emulator
r17171709/android_demo,https://github.com/r17171709/android_demo,k-nishiura,Android,,,,,,,自己学习的androiddemo合集,自己学习的androiddemo合集
scoute-dich/K9-MailClient,https://github.com/scoute-dich/K9-MailClient,k-nishiura,Android,Network,Multimedia,,,,,Fork of the android k9 mail client with material design. Mind SDK 21.,マテリアルデザインのandroid k9メールクライアントのフォーク。マインドSDK 21。
serso/android-checkout,https://github.com/serso/android-checkout,k-nishiura,Android,Security,Financial,,,,,Library for Android In-App Billing (Version 3+),Androidアプリ内課金用のライブラリ（バージョン3以降）
sockeqwe/mosby,https://github.com/sockeqwe/mosby,k-nishiura,Android,Multimedia,,,,,,A Model-View-Presenter / Model-View-Intent library for modern Android apps,最新のAndroidアプリ用のModel-View-Presenter / Model-View-Intentライブラリ
songxiaoliang/ReactNativeApp,https://github.com/songxiaoliang/ReactNativeApp,k-nishiura,Android,Development,,,,,,1. 原生 App 中集成ReactNative、实现Android与React Native3种交互方式、2. 使用google-diff-match-patch生成补丁包，实现 React Native 热部署，增量热更新、3. 封装ReactActivity，实现JsBundle预加载，界面秒开优化、4.自定义ReactDegelate，实现Android现有布局添加RN视图,1.原生アプリ中集成ReactNative、実績AndroidとReact Native3種類交互方式、2。 google-diff-match-patch生成补丁包を使用して、React Nativeの熱展開、增熱の更新、3。 ReactActivityをパッケージ化し、JsBundleの追加を実装し、界面秒数を優先して、4.ReactDegelateを実装し、Androidを実装します。
square/picasso,https://github.com/square/picasso,k-nishiura,Android,OS,,,,,,A powerful image downloading and caching library for Android,Android用の強力な画像ダウンロードおよびキャッシュライブラリ
stkent/amplify,https://github.com/stkent/amplify,k-nishiura,Android,,,,,,,Respectfully request feedback in your Android app.,Androidアプリでフィードバックを尊重してください。
TannerPerrien/picasso-transformations,https://github.com/TannerPerrien/picasso-transformations,k-nishiura,Android,Multimedia,,,,,,A transformation library for Picasso,ピカソの変換ライブラリ
TeamAmaze/AmazeFileManager,https://github.com/TeamAmaze/AmazeFileManager,k-nishiura,Android,Multimedia,Utility,,,,,Material design file manager for Android,Android用のマテリアルデザインファイルマネージャー
Tickaroo/tikxml,https://github.com/Tickaroo/tikxml,k-nishiura,Android,Data,,,,,,Modern XML Parser for Android,Android向けの最新のXMLパーサー
TomRoush/PdfBox-Android,https://github.com/TomRoush/PdfBox-Android,k-nishiura,Android,,,,,,,The Apache PdfBox project ported to work on Android,Androidで動作するように移植されたApache PdfBoxプロジェクト
tslamic/premiumer,https://github.com/tslamic/premiumer,k-nishiura,Android,Multimedia,,,,,,Premiumer makes removing ads with a single in-app purchase on Android as easy as pie.,Premiumerを使用すると、Androidでアプリ内購入を1回行うだけで、パイと同じくらい簡単に広告を削除できます。
vogellacompany/codeexamples-android,https://github.com/vogellacompany/codeexamples-android,k-nishiura,Android,,,,,,,Android examples from the vogella.com website,vogella.com WebサイトのAndroidの例
juleswhite/mobilecloud-14,https://github.com/juleswhite/mobilecloud-14,k-nishiura,Android,Programing,Distribution,,,,,Source code and assignments for the Programming Cloud Services for Android Handheld Systems Course,Androidハンドヘルドシステムプログラミングクラウドサービスコースのソースコードと割り当て
aaberg/sql2o,https://github.com/aaberg/sql2o,k-nishiura,Data,Database,,,,,,sql2o is a small library - which makes it easy to convert the result of your sql-statements into objects. No resultset hacking required. Kind of like an orm - but without the sql-generation capabilities. Supports named parameters.,sql2oは小さなライブラリです。これにより、sqlステートメントの結果をオブジェクトに簡単に変換できます。結果セットのハッキングは必要ありません。オームのようなものですが、SQL生成機能はありません。名前付きパラメーターをサポートします。
abel533/Mapper,https://github.com/abel533/Mapper,k-nishiura,Data,,,,,,,Mybatis Common Mapper - Easy to use,Mybatis Common Mapper-使いやすい
airbnb/reair,https://github.com/airbnb/reair,k-nishiura,Data,Utility,,,,,,ReAir is a collection of easy-to-use tools for replicating tables and partitions between Hive data warehouses.,ReAirは、Hiveデータウェアハウス間でテーブルとパーティションを複製するための使いやすいツールのコレクションです。
airbnb/SpinalTap,https://github.com/airbnb/SpinalTap,k-nishiura,Data,,,,,,,Change Data Capture (CDC) service,変更データキャプチャ（CDC）サービス
airlift/slice,https://github.com/airlift/slice,k-nishiura,Data,Performance,,,,,,Java library for efficiently working with heap and off-heap memory,ヒープおよびオフヒープメモリを効率的に使用するためのJavaライブラリ
aled/jsi,https://github.com/aled/jsi,k-nishiura,Data,,,,,,,Java Spatial Index,Java Spatial Index
alibaba/cobarclient,https://github.com/alibaba/cobarclient,k-nishiura,Data,,,,,,,基于iBatis和Spring的轻量级分布式数据访问框架(DDAL),iBatisとSpringに基づく量分布型データキャリア（DDAL）
alibaba/druid,https://github.com/alibaba/druid,k-nishiura,Data,,,,,,,阿里巴巴数据库事业部出品，为监控而生的数据库连接池,阿里巴巴のデータは、ビジネス部門に出品し、制御のためにデータを接続する
alibaba/fastjson,https://github.com/alibaba/fastjson,k-nishiura,Data,,,,,,,A fast JSON parser/generator for Java.,Java用の高速JSONパーサー/ジェネレーター。
alibaba/otter,https://github.com/alibaba/otter,k-nishiura,Data,,,,,,,阿里巴巴分布式数据库同步系统(解决中美异地机房),阿里巴巴分布式データ同库システム（解决中美异地机房）
alibaba/tamper,https://github.com/alibaba/tamper,k-nishiura,Data,,,,,,,A Java Bean to Java Bean mapper that recursively copies data from one object to another,1つのオブジェクトから別のオブジェクトにデータを再帰的にコピーするJava BeanからJava Beanマッパー
alibaba/wasp,https://github.com/alibaba/wasp,k-nishiura,Data,,,,,,,megastore-like system,メガストアのようなシステム
AlibabaTech/fastjson,https://github.com/AlibabaTech/fastjson,k-nishiura,Data,,,,,,,This project has been transfered to  https://github.com/alibaba/fastjson !,このプロジェクトはhttps://github.com/alibaba/fastjsonに転送されました！
aliyun/tablestore-timeline,https://github.com/aliyun/tablestore-timeline,k-nishiura,Data,,,,,,,TableStore-Timeline Model for Social scene,ソーシャルシーンのTableStore-Timelineモデル
americanexpress/nodes,https://github.com/americanexpress/nodes,k-nishiura,Data,,,,,,,A GraphQL JVM Client - Java - Kotlin - Scala - etc.,GraphQL JVMクライアント-Java-Kotlin-Scala-など
apache/accumulo,https://github.com/apache/accumulo,k-nishiura,Data,,,,,,,Apache Accumulo,Apache Accumulo
apache/apex-core,https://github.com/apache/apex-core,k-nishiura,Data,,,,,,,Mirror of Apache Apex core,Apache Apexコアのミラー
apache/avro,https://github.com/apache/avro,k-nishiura,Data,,,,,,,Apache Avro,アパッチアブロ
apache/bookkeeper,https://github.com/apache/bookkeeper,k-nishiura,Data,,,,,,,Apache Bookkeeper,Apache Bookkeeper
apache/carbondata,https://github.com/apache/carbondata,k-nishiura,Data,,,,,,,Mirror of Apache CarbonData,Apache CarbonDataのミラー
apache/commons-codec,https://github.com/apache/commons-codec,k-nishiura,Data,,,,,,,Apache Commons Codec,Apache Commons Codec
apache/commons-csv,https://github.com/apache/commons-csv,k-nishiura,Data,,,,,,,Mirror of Apache Commons CSV,Apache Commons CSVのミラー
apache/commons-pool,https://github.com/apache/commons-pool,k-nishiura,Data,,,,,,,Mirror of Apache Commons Pool,Apache Commonsプールのミラー
apache/eagle,https://github.com/apache/eagle,k-nishiura,Data,Security,Performance,,,,,Mirror of Apache Eagle,Apache Eagleのミラー
apache/geode,https://github.com/apache/geode,k-nishiura,Data,Performance,,,,,,Apache Geode,アパッチジオード
apache/gora,https://github.com/apache/gora,k-nishiura,Data,,,,,,,Mirror of Apache Gora,Apache Goraのミラー
apache/ignite,https://github.com/apache/ignite,k-nishiura,Data,Database,,,,,,Mirror of Apache Ignite,Apache Igniteのミラー
apache/incubator-edgent,https://github.com/apache/incubator-edgent,k-nishiura,Data,,,,,,,Mirror of Apache Edgent (Incubating),Apache Edgentのミラー（インキュベーション）
apache/kylin,https://github.com/apache/kylin,k-nishiura,Data,,,,,,,Apache Kylin,アパッチ・カイリン
apache/nifi,https://github.com/apache/nifi,k-nishiura,Data,,,,,,,Mirror of Apache NiFi,Apache NiFiのミラー
apache/servicecomb-pack,https://github.com/apache/servicecomb-pack,k-nishiura,Data,Database,Distribution,,,,,Apache ServiceComb Pack is an eventually data consistency solution for micro-service applications. ServiceComb Pack currently provides TCC and Saga distributed transaction co-ordination solutions by using Alpha as a transaction coordinator and Omega as an transaction agent .,Apache ServiceComb Packは、最終的にはマイクロサービスアプリケーション向けのデータ整合性ソリューションです。 ServiceComb Packは現在、トランザクションコーディネーターとしてAlphaを使用し、トランザクションエージェントとしてOmegaを使用して、TCCおよびSagaの分散トランザクション調整ソリューションを提供しています。
apache/tika,https://github.com/apache/tika,k-nishiura,Data,Document,,,,,,Mirror of Apache Tika,Apache Tikaのミラー
apache/zeppelin,https://github.com/apache/zeppelin,k-nishiura,Data,,,,,,,Mirror of Apache Zeppelin,Apache Zeppelinのミラー
ben-manes/concurrentlinkedhashmap,https://github.com/ben-manes/concurrentlinkedhashmap,k-nishiura,Data,,,,,,,A ConcurrentLinkedHashMap for Java,Java用のConcurrentLinkedHashMap
BetterCloud/vault-java-driver,https://github.com/BetterCloud/vault-java-driver,k-nishiura,Data,Development,,,,,,Zero-dependency Java client for HashiCorp's Vault,HashiCorpのVault用のゼロ依存Javaクライアント
bluelinelabs/LoganSquare,https://github.com/bluelinelabs/LoganSquare,k-nishiura,Data,,,,,,,Screaming fast JSON parsing and serialization library for Android.,Android用の高速JSON解析およびシリアル化ライブラリ。
broadinstitute/picard,https://github.com/broadinstitute/picard,k-nishiura,Data,,,,,,,A set of command line tools (in Java) for manipulating high-throughput sequencing (HTS) data and formats such as SAM/BAM/CRAM and VCF.,SAM / BAM / CRAMやVCFなどのハイスループットシーケンス（HTS）データと形式を操作するための一連のコマンドラインツール（Java）。
cardillo/joinery,https://github.com/cardillo/joinery,k-nishiura,Data,,,,,,,Data frames for Java,Javaのデータフレーム
chrisvest/stormpot,https://github.com/chrisvest/stormpot,k-nishiura,Data,,,,,,,A fast object pool for the JVM,JVMの高速オブジェクトプール
citiususc/hipster,https://github.com/citiususc/hipster,k-nishiura,Data,,,,,,,Hipster4j is a lightweight and powerful heuristic search library for Java and Android. It contains common - fully customizable algorithms such as Dijkstra - A* (A-Star) - DFS - BFS - Bellman-Ford and more.,Hipster4jは、JavaおよびAndroid用の軽量で強力なヒューリスティック検索ライブラリです。ダイクストラなどの完全にカスタマイズ可能なアルゴリズム-A *（A-Star）-DFS-BFS-Bellman-Fordなどが含まれます。
code4craft/jsoup-learning,https://github.com/code4craft/jsoup-learning,k-nishiura,Data,Document,,,,,,Jsoup学习笔记。添加了部分学习代码和注释。,Jsoup学記。部分学代用と注釈を追加。
codelibs/fess,https://github.com/codelibs/fess,k-nishiura,Data,,,,,,,Fess is very powerful and easily deployable Enterprise Search Server.,Fessは非常に強力で、簡単に展開できるエンタープライズ検索サーバーです。
confluentinc/kafka-streams-examples,https://github.com/confluentinc/kafka-streams-examples,k-nishiura,Data,Distribution,,,,,,Demo applications and code examples for Apache Kafka's Streams API.,Apache KafkaのStreams APIのデモアプリケーションとコード例。
confluentinc/ksql,https://github.com/confluentinc/ksql,k-nishiura,Data,Database,,,,,,The event streaming database purpose-built for stream processing applications,ストリーム処理アプリケーション専用のイベントストリーミングデータベース
dadoonet/fscrawler,https://github.com/dadoonet/fscrawler,k-nishiura,Data,,,,,,,Elasticsearch File System Crawler (FS Crawler),Elasticsearchファイルシステムクローラー（FSクローラー）
datacleaner/DataCleaner,https://github.com/datacleaner/DataCleaner,k-nishiura,Data,,,,,,,The premier open source Data Quality solution,最高のオープンソースのデータ品質ソリューション
DataSystemsLab/GeoSpark,https://github.com/DataSystemsLab/GeoSpark,k-nishiura,Data,Distribution,,,,,,A Cluster Computing System for Processing Large-Scale Spatial Data,大規模空間データを処理するためのクラスターコンピューティングシステム
davidmoten/rtree,https://github.com/davidmoten/rtree,k-nishiura,Data,,,,,,,Immutable in-memory R-tree and R*-tree implementations in Java with reactive api,リアクティブAPIを使用したJavaでの不変のインメモリRツリーおよびR *ツリーの実装
dbs-leipzig/gradoop,https://github.com/dbs-leipzig/gradoop,k-nishiura,Data,,,,,,,Distributed Graph Analytics with Apache Flink,Apache Flinkによる分散グラフ分析
debop/hibernate-redis,https://github.com/debop/hibernate-redis,k-nishiura,Data,Performance,,,,,,hibernate 2nd level cache privder using redis,redisを使用したハイバネート2次キャッシュprivder
dermotte/LIRE,https://github.com/dermotte/LIRE,k-nishiura,Data,Multimedia,,,,,,Open source library for content based image retrieval / visual information retrieval.,コンテンツベースの画像検索/視覚情報検索のためのオープンソースライブラリ。
digital-preservation/droid,https://github.com/digital-preservation/droid,k-nishiura,Data,,,,,,,DROID (Digital Record and Object Identification),DROID（デジタルレコードおよびオブジェクト識別）
divolte/divolte-collector,https://github.com/divolte/divolte-collector,k-nishiura,Data,Network,,,,,,Divolte Collector,ダイボルトコレクター
DozerMapper/dozer,https://github.com/DozerMapper/dozer,k-nishiura,Data,,,,,,,Dozer is a Java Bean to Java Bean mapper that recursively copies data from one object to another.,Dozerは、1つのオブジェクトから別のオブジェクトにデータを再帰的にコピーするJava BeanからJava Beanへのマッパーです。
eclipse/birt,https://github.com/eclipse/birt,k-nishiura,Data,Multimedia,,,,,,Eclipse BIRT™ The open source reporting and data visualization project.,Eclipse BIRT™オープンソースのレポートおよびデータ視覚化プロジェクト。
eclipse/rdf4j,https://github.com/eclipse/rdf4j,k-nishiura,Data,,,,,,,RDF4J Project,RDF4Jプロジェクト
elki-project/elki,https://github.com/elki-project/elki,k-nishiura,Data,,,,,,,ELKI Data Mining Toolkit,ELKIデータマイニングツールキット
espertechinc/esper,https://github.com/espertechinc/esper,k-nishiura,Data,Database,,,,,,Esper Complex Event Processing - Streaming SQL and Event Series Analysis,エスパー複合イベント処理-ストリーミングSQLおよびイベントシリーズ分析
etcd-io/jetcd,https://github.com/etcd-io/jetcd,k-nishiura,Data,Distribution,,,,,,etcd java client,etcd javaクライアント
everit-org/json-schema,https://github.com/everit-org/json-schema,k-nishiura,Data,,,,,,,JSON Schema validator for java - based on the org.json API,Java用のJSONスキーマ検証ツール-org.json APIに基づく
evrignaud/fim,https://github.com/evrignaud/fim,k-nishiura,Data,Utility,,,,,,File Integrity Manager -,ファイル整合性マネージャー-
FasterXML/jackson-core,https://github.com/FasterXML/jackson-core,k-nishiura,Data,,,,,,,Core part of Jackson that defines Streaming API as well as basic shared abstractions,ストリーミングAPIおよび基本的な共有抽象化を定義するJacksonのコア部分
FasterXML/jackson-databind,https://github.com/FasterXML/jackson-databind,k-nishiura,Data,,,,,,,General data-binding package for Jackson (2.x): works on streaming API (core) implementation(s),Jackson（2.x）の一般的なデータバインディングパッケージ：ストリーミングAPI（コア）実装で動作します
FasterXML/jackson-dataformat-xml,https://github.com/FasterXML/jackson-dataformat-xml,k-nishiura,Data,,,,,,,Extension for Jackson JSON processor that adds support for serializing POJOs as XML (and deserializing from XML) as an alternative to JSON,JSONの代替としてPOJOをXMLとしてシリアル化する（およびXMLから逆シリアル化する）サポートを追加するJackson JSONプロセッサの拡張機能
FasterXML/jackson-datatype-hibernate,https://github.com/FasterXML/jackson-datatype-hibernate,k-nishiura,Data,,,,,,,Add-on module for Jackson JSON processor which handles Hibernate (http://www.hibernate.org/) datatypes; and specifically aspects of lazy-loading,Hibernate（http://www.hibernate.org/）データ型を処理するJackson JSONプロセッサ用のアドオンモジュール。特に遅延読み込みの側面
ferstl/depgraph-maven-plugin,https://github.com/ferstl/depgraph-maven-plugin,k-nishiura,Data,,,,,,,A Maven plugin that generates dependency graphs in various formats (DOT - GML - PlantUML - JSON and Text),さまざまな形式の依存グラフを生成するMavenプラグイン（DOT-GML-PlantUML-JSON and Text）
Fewlaps/quitnow-cache,https://github.com/Fewlaps/quitnow-cache,k-nishiura,Data,,,,,,,A collection to store data for a given time,特定の時間のデータを保存するコレクション
FINRAOS/DataGenerator,https://github.com/FINRAOS/DataGenerator,k-nishiura,Data,,,,,,,DataGenerator is a Java library for systematically producing large volumes of data. DataGenerator frames data production as a modeling problem - with a user providing a model of dependencies among variables and the library traversing the model to produce relevant data sets.,DataGeneratorは、大量のデータを体系的に生成するためのJavaライブラリです。 DataGeneratorは、データ生成をモデリング問題としてフレーム化します-ユーザーが変数間の依存関係のモデルを提供し、ライブラリがモデルを横断して関連するデータセットを生成します。
flaxsearch/luwak,https://github.com/flaxsearch/luwak,k-nishiura,Data,,,,,,,A java library for stored queries,ストアドクエリ用のJavaライブラリ
google/nomulus,https://github.com/google/nomulus,k-nishiura,Data,Utility,,,,,,Top-level domain name registry service on Google App Engine,Google App Engineのトップレベルドメイン名レジストリサービス
graphstream/gs-core,https://github.com/graphstream/gs-core,k-nishiura,Data,,,,,,,Graphstream core,Graphstreamコア
ground-context/ground,https://github.com/ground-context/ground,k-nishiura,Data,,,,,,,An open-source - vendor-neutral data context service.,オープンソース-ベンダー中立のデータコンテキストサービス。
hawkular/hawkular-metrics,https://github.com/hawkular/hawkular-metrics,k-nishiura,Data,Database,,,,,,Time Series Metrics Engine based on Cassandra,Cassandraに基づく時系列メトリックエンジン
hazelcast/hazelcast,https://github.com/hazelcast/hazelcast,k-nishiura,Data,,,,,,,Open Source In-Memory Data Grid,オープンソースのインメモリデータグリッド
hibernate/hibernate-orm,https://github.com/hibernate/hibernate-orm,k-nishiura,Data,,,,,,,Hibernate's core Object/Relational Mapping functionality,Hibernateのコアオブジェクト/リレーショナルマッピング機能
hortonworks/streamline,https://github.com/hortonworks/streamline,k-nishiura,Data,,,,,,,StreamLine - Streaming Analytics,StreamLine-ストリーミング分析
HPI-Information-Systems/Metanome,https://github.com/HPI-Information-Systems/Metanome,k-nishiura,Data,Science,,,,,,The source repository of the Metanome tool,Metanomeツールのソースリポジトリ
httl/httl,https://github.com/httl/httl,k-nishiura,Data,,,,,,,Hyper-Text Template Language and Engine.,ハイパーテキストテンプレート言語とエンジン。
ical4j/ical4j,https://github.com/ical4j/ical4j,k-nishiura,Data,,,,,,,A Java library for parsing and building iCalendar data models,iCalendarデータモデルを解析および構築するためのJavaライブラリ
ICIJ/datashare,https://github.com/ICIJ/datashare,k-nishiura,Data,,,,,,,Better analyze information - in all its forms,情報の分析の改善-すべての形式で
ICIJ/extract,https://github.com/ICIJ/extract,k-nishiura,Data,Utility,,,,,,A cross-platform command line tool for parallelised content extraction and analysis.,並列化されたコンテンツの抽出と分析のためのクロスプラットフォームのコマンドラインツール。
indeedeng/imhotep,https://github.com/indeedeng/imhotep,k-nishiura,Data,,,,,,,Imhotep is a large-scale analytics platform built by Indeed.,Imhotepは、Indeedによって構築された大規模な分析プラットフォームです。
itext/itextpdf,https://github.com/itext/itextpdf,k-nishiura,Data,Multimedia,,,,,,[DEPRECATED] Core Java Library + PDF/A - xtra and XML Worker. Only security fixes will be added — please use iText 7,[非推奨] Core Java Library + PDF / A-xtraおよびXMLワーカー。セキュリティ修正のみが追加されます— iText 7を使用してください
itisaid/Doris,https://github.com/itisaid/Doris,k-nishiura,Data,Distribution,,,,,,A large scale distributed KV storage system.,大規模な分散型KVストレージシステム。
